ubicacionid,criticidadid,nodoid,nodo,tipoid,tipo,metricaid,minimo,maximo,umbral
68,4,50,rs485-ls-50,1,Sensor Maceta 10cm,3,500,1000,U.N.50-SM10CM-Elect.Cond.
68,4,50,rs485-ls-50,3,Sensor Maceta 30cm,3,500,1000,U.N.50-SM30CM-Elect.Cond.
89,4,53,rs485-ls-53,1,Sensor Maceta 10cm,3,500,1000,U.N.53-SM10CM-Elect.Cond.
89,4,53,rs485-ls-53,3,Sensor Maceta 30cm,3,500,1000,U.N.53-SM30CM-Elect.Cond.
88,4,51,rs485-ls-51,1,Sensor Maceta 10cm,3,500,1000,U.N.51-SM10CM-Elect.Cond.
88,4,51,rs485-ls-51,3,Sensor Maceta 30cm,3,500,1000,U.N.51-SM30CM-Elect.Cond.
71,4,55,rs485-ls-55,1,Sensor Maceta 10cm,3,500,1000,U.N.55-SM10CM-Elect.Cond.
71,4,55,rs485-ls-55,3,Sensor Maceta 30cm,3,500,1000,U.N.55-SM30CM-Elect.Cond.
70,4,54,rs485-ls-54,1,Sensor Maceta 10cm,3,500,1000,U.N.54-SM10CM-Elect.Cond.
70,4,54,rs485-ls-54,3,Sensor Maceta 30cm,3,500,1000,U.N.54-SM30CM-Elect.Cond.
69,4,52,rs485-ls-52,1,Sensor Maceta 10cm,3,500,1000,U.N.52-SM10CM-Elect.Cond.
69,4,52,rs485-ls-52,3,Sensor Maceta 30cm,3,500,1000,U.N.52-SM30CM-Elect.Cond.
81,4,98,rs485-ls-98,4,Sensor Suelo 20cm,3,500,2200,U.N.98-SM20CM-Elect.Cond.
81,4,98,rs485-ls-98,5,Sensor Suelo 40cm,3,500,2200,U.N.98-SM40CM-Elect.Cond.
81,4,98,rs485-ls-98,6,Sensor Suelo 60cm,3,500,2200,U.N.98-SM60CM-Elect.Cond.
82,4,99,rs485-ls-99,4,Sensor Suelo 20cm,3,500,2200,U.N.99-SM20CM-Elect.Cond.
82,4,99,rs485-ls-99,5,Sensor Suelo 40cm,3,500,2200,U.N.99-SM40CM-Elect.Cond.
82,4,99,rs485-ls-99,6,Sensor Suelo 60cm,3,500,2200,U.N.99-SM60CM-Elect.Cond.
